DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE,,,,,,
7/15/24,06:31:01,TRD,5033840013,BOT +1 SPX 100 (Weeklys) 22 JUL 24 5620 PUT @19.50,-0.53,-0.65,-1950,98048.82,,,,,,
7/22/24,22:00:00,EXP,5038002636,Automatic Expiration 1.0,,,5559,103607.82,,,,,,
8/12/24,12:20:22,TRD,5048935795,BOT +10 VERTICAL AAPL 100 16 AUG 24 215/217.5 CALL @1.62,-0.16,-13,-1620,101974.66,,,,,,
8/15/24,06:31:04,TRD,5050344929,SOLD -10 VERTICAL AAPL 100 16 AUG 24 215/217.5 CALL @2.45,-0.27,-13,2450,104411.39,,,,,,
8/15/24,07:42:43,TRD,5050642466,BOT +10 VERTICAL AAPL 100 (Weeklys) 23 AUG 24 225/227.5 CALL @1.20,-0.15,-13,-1200,103198.24,,,,,,
8/19/24,11:37:55,TRD,5052300305,SOLD -10 VERTICAL AAPL 100 (Weeklys) 23 AUG 24 225/227.5 CALL @1.02,-0.15,-13,1020,104205.09,,,,,,
8/20/24,06:40:45,TRD,5052527110,BOT +100 TTNP @10.78,,,-1078,103127.09,,,,,,
8/20/24,06:45:31,TRD,5052541718,SOLD -100 TTNP @9.90,-0.02,,990,104117.07,,,,,,
8/20/24,06:56:14,TRD,5052574539,BOT +100 RR @1.335,,,-133.5,103983.57,,,,,,
8/20/24,07:02:34,TRD,5052595315,SOLD -50 RR @1.375,-0.01,,68.75,104052.31,,,,,,
8/20/24,07:04:31,TRD,5052599252,SOLD -50 RR @1.455,-0.01,,72.75,104125.05,,,,,,
8/21/24,09:45:02,TRD,5053507111,BOT +100 NEON @4.63,,,-463,103662.05,,,,,,
8/21/24,09:52:11,TRD,5053511966,SOLD -100 NEON @4.55,-0.01,,455,104117.04,,,,,,
8/21/24,10:20:42,TRD,5053539029,BOT +100 GXAI @2.80,,,-280,103837.04,,,,,,
8/21/24,10:20:51,TRD,5053539035,SOLD -100 GXAI @3.08,-0.01,,308,104145.03,,,,,,
8/21/24,10:26:26,TRD,5053542764,"BOT +1,000 GOVX @6.95",,,-6950,97195.03,,,,,,
8/21/24,10:33:07,TRD,5053546873,SOLD -100 GOVX @7.02,-0.01,,702,97897.02,,,,,,
8/21/24,10:33:11,TRD,5053546874,SOLD -100 GOVX @7.02,-0.01,,702,98599.01,,,,,,
8/21/24,10:33:13,TRD,5053546875,SOLD -100 GOVX @7.02,-0.01,,702,99301,,,,,,
8/21/24,10:33:17,TRD,5053546877,SOLD -100 GOVX @7.02,-0.01,,702,100002.99,,,,,,
8/21/24,10:33:21,TRD,5053546878,SOLD -100 GOVX @7.02,-0.01,,702,100704.98,,,,,,
8/21/24,10:33:24,TRD,5053546880,SOLD -100 GOVX @7.03,-0.01,,703,101407.97,,,,,,
8/21/24,10:33:27,TRD,5053546881,SOLD -100 GOVX @7.04,-0.01,,704,102111.96,,,,,,
8/21/24,10:33:29,TRD,5053546882,SOLD -100 GOVX @7.04,-0.01,,704,102815.95,,,,,,
8/21/24,10:34:01,TRD,5053546886,SOLD -100 GOVX @7.05,-0.01,,705,103520.94,,,,,,
8/21/24,10:34:03,TRD,5053546887,SOLD -100 GOVX @7.04,-0.01,,704,104224.93,,,,,,
8/22/24,08:28:25,TRD,5054094403,BOT +100 BENF @2.57,,,-257,103967.93,,,,,,
8/22/24,08:35:36,TRD,5054105232,SOLD -100 BENF @2.61,-0.01,,261,104228.92,,,,,,
8/22/24,08:42:26,TRD,5054115977,"BOT +1,000 MOBX @1.055",,,-1055,103173.92,,,,,,
8/22/24,08:43:51,TRD,5054118372,"SOLD -1,000 MOBX @1.105",-0.02,,1105,104278.9,,,,,,
8/22/24,11:48:35,TRD,5054328938,BOT +100 GRFS @8.76,,,-876,103402.9,,,,,,
8/22/24,11:54:56,TRD,5054335642,SOLD -100 GRFS @8.76,-0.01,,876,104278.89,,,,,,
8/22/24,12:01:06,TRD,5054341670,BOT +100 AMS @3.41,,,-341,103937.89,,,,,,
8/22/24,12:09:49,TRD,5054350375,SOLD -100 AMS @3.40,-0.01,,340,104277.88,,,,,,
8/23/24,06:38:41,TRD,5054524487,BOT +100 GDC @11.18,,,-1118,103159.88,,,,,,
8/23/24,06:39:11,TRD,5054526549,SOLD -100 GDC @11.80,-0.02,,1180,104339.86,,,,,,
8/23/24,06:42:43,TRD,5054538050,BOT +25 GDC @9.66,,,-241.5,104098.36,,,,,,
8/23/24,06:49:27,TRD,5054558455,SOLD -25 GDC @9.10,-0.01,,227.5,104325.85,,,,,,
8/23/24,06:52:49,TRD,5054567791,BOT +100 APDN @2.52,,,-252,104073.85,,,,,,
8/23/24,06:55:27,TRD,5054575581,SOLD -100 APDN @2.72,-0.01,,272,104345.84,,,,,,
8/23/24,06:56:52,TRD,5054580166,BOT +100 APDN @2.78,,,-278,104067.84,,,,,,
8/23/24,06:59:50,TRD,5054586389,BOT +100 APDN @2.85,,,-285,103782.84,,,,,,
8/23/24,07:00:13,TRD,5054588150,SOLD -200 APDN @2.91,-0.01,,582,104364.83,,,,,,
8/23/24,07:02:06,TRD,5054597124,BOT +100 APDN @3.03,,,-303,104061.83,,,,,,
8/23/24,07:03:23,TRD,5054602226,SOLD -100 APDN @3.09,-0.01,,309,104370.82,,,,,,
8/23/24,07:05:10,TRD,5054609026,BOT +100 APDN @3.33,,,-333,104037.82,,,,,,
8/23/24,07:06:34,TRD,5054613438,SOLD -100 APDN @3.27,-0.01,,327,104364.81,,,,,,
8/23/24,07:07:03,TRD,5054615817,BOT +100 APDN @3.49,,,-349,104015.81,,,,,,
8/23/24,07:07:32,TRD,5054615898,SOLD -100 APDN @3.13,-0.01,,313,104328.8,,,,,,
8/23/24,07:07:53,TRD,5054617148,BOT +100 APDN @2.92,,,-292,104036.8,,,,,,
8/23/24,07:08:58,TRD,5054618982,BOT +100 APDN @2.96,,,-296,103740.8,,,,,,
8/23/24,07:10:13,TRD,5054623518,SOLD -200 APDN @2.83,-0.01,,566,104306.79,,,,,,
8/23/24,07:11:12,TRD,5054626548,BOT +300 APDN @2.81,,,-843,103463.79,,,,,,
8/23/24,07:13:18,TRD,5054633206,SOLD -300 APDN @2.75,-0.01,,825,104288.78,,,,,,
8/23/24,07:18:54,TRD,5054649918,BOT +300 APDN @2.95,,,-885,103403.78,,,,,,
8/23/24,07:19:27,TRD,5054649961,SOLD -300 APDN @2.95,-0.01,,885,104288.77,,,,,,
8/23/24,07:19:31,TRD,5054649972,BOT +300 APDN @3.04,,,-912,103376.77,,,,,,
8/23/24,07:22:19,TRD,5054657311,SOLD -300 APDN @2.96,-0.02,,888,104264.75,,,,,,
8/23/24,07:24:02,TRD,5054659490,BOT +300 GDC @7.09,,,-2127,102137.75,,,,,,
8/23/24,07:24:39,TRD,5054662758,SOLD -300 GDC @7.46,-0.04,,2238,104375.71,,,,,,
8/23/24,07:42:30,TRD,5054702651,BOT +100 OPEN @2.23,,,-223,104152.71,,,,,,
8/23/24,07:44:41,TRD,5054705351,SOLD -100 OPEN @2.18,-0.01,,218,104370.7,,,,,,
8/26/24,06:31:50,TRD,5055214471,"BOT +1,000 MIRA @2.70",,,-2700,101670.7,,,,,,
8/26/24,06:31:57,TRD,5055214471,"SOLD -1,000 MIRA @2.66",-0.04,,2660,104330.66,,,,,,
8/26/24,06:32:22,TRD,5055215595,"BOT +1,000 MIRA @2.67",,,-2670,101660.66,,,,,,
8/26/24,06:32:23,TRD,5055215595,"SOLD -1,000 MIRA @2.66",-0.04,,2660,104320.62,,,,,,
8/26/24,06:33:23,TRD,5055218356,"BOT +1,000 MIRA @2.42",,,-2420,101900.62,,,,,,
8/26/24,06:33:30,TRD,5055218356,"SOLD -1,000 MIRA @2.43",-0.04,,2430,104330.58,,,,,,
8/26/24,06:34:21,TRD,5055221275,"BOT +3,000 MIRA @2.40",,,-7200,97130.58,,,,,,
8/26/24,06:34:27,TRD,5055221275,"SOLD -3,000 MIRA @2.38",-0.12,,7140,104270.46,,,,,,
8/26/24,06:39:40,TRD,5055235165,"BOT +3,000 RR @1.91",,,-5730,98540.46,,,,,,
8/26/24,06:52:24,TRD,5055275285,"SOLD -3,000 RR @1.75",-0.09,,5250,103790.37,,,,,,
8/26/24,06:57:08,TRD,5055289614,"BOT +3,000 ASST @1.79",,,-5370,98420.37,,,,,,
8/26/24,06:57:59,TRD,5055289614,"SOLD -3,000 ASST @1.71",-0.09,,5130,103550.28,,,,,,
8/26/24,07:01:26,TRD,5055300406,"BOT +3,000 UBXG @2.67",,,-8010,95540.28,,,,,,
8/26/24,07:08:36,TRD,5055300406,"SOLD -3,000 UBXG @2.41",-0.12,,7230,102770.16,,,,,,
8/27/24,09:50:23,TRD,5056208173,"BOT +1,000 LFCR @4.97",,,-4970,97800.16,,,,,,
8/27/24,09:59:02,TRD,5056212277,"SOLD -1,000 LFCR @5.08",-0.09,,5080,102880.07,,,,,,
8/27/24,09:59:37,TRD,5056216056,"BOT +1,000 UBXG @1.94",,,-1940,100940.07,,,,,,
8/27/24,10:02:05,TRD,5056217969,"BOT +1,000 UBXG @1.93",,,-1930,99010.07,,,,,,
8/27/24,10:06:51,TRD,5056222026,"SOLD -1,000 UBXG @1.93",-0.03,,1930,100940.04,,,,,,
8/27/24,10:13:53,TRD,5056225694,"SOLD -1,000 UBXG @1.93",-0.03,,1930,102870.01,,,,,,
8/27/24,12:40:06,TRD,5056353310,"BOT +1,000 TSNDF @1.22",,,-1220,101650.01,,,,,,
8/27/24,12:50:15,TRD,5056360999,"SOLD -1,000 TSNDF @1.22",-0.02,,1220,102869.99,,,,,,
8/27/24,12:54:43,TRD,5056368624,"BOT +1,000 IVP @2.12",,,-2120,100749.99,,,,,,
8/27/24,12:57:45,TRD,5056368671,"SOLD -1,000 IVP @2.15",-0.04,,2150,102899.95,,,,,,
8/28/24,09:05:04,TRD,5056805345,BOT +1 VERTICAL SPX 100 (Weeklys) 28 AUG 24 5600/5595 PUT @2.60,-1.06,-1.3,-260,102637.59,,,,,,
8/28/24,09:13:03,TRD,5056814707,SOLD -1 VERTICAL SPX 100 (Weeklys) 28 AUG 24 5600/5595 PUT @3.20,-1.06,-1.3,320,102955.23,,,,,,
8/29/24,06:45:51,TRD,5057214426,BOT +2 VERTICAL SPX 100 (Weeklys) 29 AUG 24 5620/5615 PUT @2.80,-2.1,-2.6,-560,102390.53,,,,,,
8/29/24,06:55:09,TRD,5057240929,SOLD -2 VERTICAL SPX 100 (Weeklys) 29 AUG 24 5620/5615 PUT @3.30,-2.1,-2.6,660,103045.83,,,,,,
8/29/24,07:03:36,TRD,5057268187,SOLD -3 VERTICAL SPX 100 (Weeklys) 29 AUG 24 5625/5630 CALL @2.40,-3.16,-3.9,720,103758.77,,,,,,
8/29/24,07:06:05,TRD,5057277273,BOT +3 VERTICAL SPX 100 (Weeklys) 29 AUG 24 5625/5630 CALL @2.20,-3.16,-3.9,-660,103091.71,,,,,,
8/29/24,07:12:16,TRD,5057292529,BOT +3 VERTICAL SPX 100 (Weeklys) 29 AUG 24 5625/5620 PUT @2.00,-3.16,-3.9,-600,102484.65,,,,,,
8/29/24,07:13:28,TRD,5057294695,SOLD -3 VERTICAL SPX 100 (Weeklys) 29 AUG 24 5625/5620 PUT @2.50,-3.16,-3.9,750,103227.59,,,,,,
,,,,TOTAL,($21.36),($76.05),"$3,325.00","$103,227.59",,,,,,
,,,,,,,,,,,,,,
Futures Statements,,,,,,,,,,,,,,
Trade Date,Exec Date,Exec Time,Type,Ref #,Description,Misc Fees,Commissions & Fees,Amount,Balance,,,,,
,,,,,,,,,,,,,,
Forex Statements,,,,,,,,,,,,,,
,Date,Time,Type,Ref #,Description,Commissions & Fees,Amount,Amount(USD),Balance,,,,,
,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
"Total Cash $103,227.59",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Account Order History,,,,,,,,,,,,,,
Notes,,Time Placed,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Status
,,8/29/24 07:13:27,VERTICAL,SELL,-3,TO CLOSE,SPX,29 AUG 24,5625,PUT,2.45,LMT,DAY,FILLED
,,,,BUY,3,TO CLOSE,SPX,29 AUG 24,5620,PUT,CREDIT,,,
,,8/29/24 07:12:53,VERTICAL,BUY,3,TO OPEN,SPX,29 AUG 24,5625,PUT,2.5,LMT,DAY,REJECTED: Replaced order was already filled for the requested quantity
,,,RE #5057284643,SELL,-3,TO OPEN,SPX,29 AUG 24,5620,PUT,DEBIT,,,
,,8/29/24 07:11:49,VERTICAL,BUY,3,TO OPEN,SPX,29 AUG 24,5625,PUT,2.2,LMT,DAY,FILLED
,,,RE #5057284643,SELL,-3,TO OPEN,SPX,29 AUG 24,5620,PUT,DEBIT,,,
,,8/29/24 07:08:50,VERTICAL,BUY,3,TO OPEN,SPX,29 AUG 24,5625,PUT,2,LMT,DAY,CANCELED
,,,,SELL,-3,TO OPEN,SPX,29 AUG 24,5620,PUT,DEBIT,,,
,,8/29/24 07:06:04,VERTICAL,BUY,3,TO CLOSE,SPX,29 AUG 24,5625,CALL,2.25,LMT,DAY,REJECTED: Replaced order was already filled for the requested quantity
,,,RE #5057274316,SELL,-3,TO CLOSE,SPX,29 AUG 24,5630,CALL,DEBIT,,,
,,8/29/24 07:05:52,VERTICAL,BUY,3,TO CLOSE,SPX,29 AUG 24,5625,CALL,2.4,LMT,DAY,(0) CANCELED
,,,RE #5057274316,SELL,-3,TO CLOSE,SPX,29 AUG 24,5630,CALL,DEBIT,,,
,,8/29/24 07:04:32,VERTICAL,BUY,3,TO CLOSE,SPX,29 AUG 24,5625,CALL,2.25,LMT,DAY,CANCELED
,,,,SELL,-3,TO CLOSE,SPX,29 AUG 24,5630,CALL,DEBIT,,,
,,8/29/24 07:03:22,VERTICAL,SELL,-3,TO OPEN,SPX,29 AUG 24,5625,CALL,2.35,LMT,DAY,FILLED
,,,,BUY,3,TO OPEN,SPX,29 AUG 24,5630,CALL,CREDIT,,,
,,8/29/24 06:54:23,VERTICAL,SELL,-2,TO CLOSE,SPX,29 AUG 24,5620,PUT,3.3,LMT,DAY,FILLED
,,,,BUY,2,TO CLOSE,SPX,29 AUG 24,5615,PUT,CREDIT,,,
,,8/29/24 06:45:46,VERTICAL,BUY,2,TO OPEN,SPX,29 AUG 24,5620,PUT,2.9,LMT,DAY,FILLED
,,,,SELL,-2,TO OPEN,SPX,29 AUG 24,5615,PUT,DEBIT,,,
,,8/28/24 09:12:57,VERTICAL,SELL,-1,TO CLOSE,SPX,28 AUG 24,5600,PUT,3.2,LMT,DAY,FILLED
,,,,BUY,1,TO CLOSE,SPX,28 AUG 24,5595,PUT,CREDIT,,,
,,8/28/24 09:04:59,VERTICAL,BUY,1,TO OPEN,SPX,28 AUG 24,5600,PUT,2.65,LMT,DAY,FILLED
,,,,SELL,-1,TO OPEN,SPX,28 AUG 24,5595,PUT,DEBIT,,,
,,8/27/24 12:54:52,STOCK,SELL,-1000,TO CLOSE,IVP,,,STOCK,2.15,LMT,DAY,FILLED
,,8/27/24 12:54:15,STOCK,BUY,1000,TO OPEN,IVP,,,STOCK,2.12,LMT,DAY,FILLED
,,,RE #5056367069,,,,,,,,,,,
,,8/27/24 12:53:31,STOCK,BUY,1000,TO OPEN,IVP,,,STOCK,2.13,LMT,DAY,CANCELED
,,8/27/24 12:49:53,STOCK,SELL,-1000,TO CLOSE,TSNDF,,,STOCK,1.22,LMT,DAY,FILLED
,,,RE #5056353319,,,,,,,,,,,
,,8/27/24 12:45:18,STOCK,SELL,-1000,TO CLOSE,TSNDF,,,STOCK,1.25,LMT,DAY,CANCELED
,,,RE #5056353319,,,,,,,,,,,
,,8/27/24 12:43:21,STOCK,SELL,-1000,TO CLOSE,TSNDF,,,STOCK,1.3,LMT,DAY,CANCELED
,,,RE #5056353319,,,,,,,,,,,
,,8/27/24 12:40:24,STOCK,SELL,-1000,TO CLOSE,TSNDF,,,STOCK,1.25,LMT,DAY,CANCELED
,,8/27/24 12:40:06,STOCK,BUY,1000,TO OPEN,TSNDF,,,STOCK,1.22,LMT,DAY,FILLED
,,8/27/24 10:34:42,STOCK,BUY,1000,TO OPEN,LFCR,,,STOCK,4.8,LMT,DAY,CANCELED
,,8/27/24 10:13:53,STOCK,SELL,-1000,TO CLOSE,UBXG,,,STOCK,~,MKT,DAY,FILLED
,,8/27/24 10:06:51,STOCK,SELL,-1000,TO CLOSE,UBXG,,,STOCK,1.93,LMT,DAY,FILLED
,,,RE #5056217909,,,,,,,,,,,
,,8/27/24 10:02:19,STOCK,SELL,-1000,TO CLOSE,UBXG,,,STOCK,1.94,LMT,DAY,CANCELED
,,8/27/24 10:02:00,STOCK,BUY,1000,TO OPEN,UBXG,,,STOCK,~,MKT,DAY,FILLED
,,8/27/24 10:01:18,STOCK,SELL,-1000,TO CLOSE,UBXG,,,STOCK,1.95,LMT,DAY,CANCELED
,,,RE #5056217909,,,,,,,,,,,
,,8/27/24 10:00:33,STOCK,SELL,-1000,TO CLOSE,UBXG,,,STOCK,1.96,LMT,DAY,CANCELED
,,8/27/24 09:59:30,STOCK,BUY,1000,TO OPEN,UBXG,,,STOCK,1.94,LMT,DAY,FILLED
,,8/27/24 09:55:07,STOCK,SELL,-1000,TO CLOSE,LFCR,,,STOCK,5.08,LMT,DAY,FILLED
,,,RE #5056208179,,,,,,,,,,,
,,8/27/24 09:50:33,STOCK,SELL,-1000,TO CLOSE,LFCR,,,STOCK,5.13,LMT,DAY,CANCELED
,,8/27/24 09:50:22,STOCK,BUY,1000,TO OPEN,LFCR,,,STOCK,4.98,LMT,DAY,FILLED
,,8/26/24 14:24:24,STOCK,BUY,500,TO OPEN,APDN,,,STOCK,2.2,LMT,EXT,CANCELED
,,8/26/24 14:22:59,STOCK,BUY,1000,TO OPEN,APDN,,,STOCK,2.2,LMT,EXT,CANCELED
,,8/26/24 14:22:33,STOCK,BUY,1000,TO OPEN,APDN,,,STOCK,2.2,LMT,DAY,CANCELED
,,8/26/24 14:19:39,STOCK,BUY,1000,TO OPEN,NEON,,,STOCK,5.83,LMT,EXT,CANCELED
,,8/26/24 07:01:26,STOCK,SELL,-3000,TO CLOSE,UBXG,,,STOCK,~,MKT,DAY,FILLED
,,,TRG BY #5055300406,,,,,,,,TRG-10.00%,STP,STD,
,,,,,,,,,,,2.41,STP,,
,,8/26/24 07:01:26,STOCK,BUY,3000,TO OPEN,UBXG,,,STOCK,~,MKT,DAY,FILLED
,,8/26/24 06:57:07,STOCK,SELL,-3000,TO CLOSE,ASST,,,STOCK,~,MKT,DAY,FILLED
,,,TRG BY #5055289614,,,,,,,,MARK-.10,TR,MARK,
,,,,,,,,,,,1.71,STP,,
,,8/26/24 06:57:07,STOCK,BUY,3000,TO OPEN,ASST,,,STOCK,~,MKT,DAY,FILLED
,,8/26/24 06:52:24,STOCK,SELL,-3000,TO CLOSE,RR,,,STOCK,1.75,LMT,DAY,REJECTED: Replaced order was already filled for the requested quantity
,,,RE #5055272068,,,,,,,,,,,
,,8/26/24 06:52:21,STOCK,SELL,-3000,TO CLOSE,RR,,,STOCK,1.73,LMT,DAY,(0) CANCELED
,,,RE #5055272068,,,,,,,,,,,
,,8/26/24 06:52:12,STOCK,SELL,-3000,TO CLOSE,RR,,,STOCK,1.83,LMT,DAY,CANCELED
,,,RE #5055272068,,,,,,,,,,,
,,8/26/24 06:52:06,STOCK,SELL,-3000,TO CLOSE,RR,,,STOCK,1.86,LMT,DAY,CANCELED
,,,RE #5055272068,,,,,,,,,,,
,,8/26/24 06:51:58,STOCK,SELL,-3000,TO CLOSE,RR,,,STOCK,1.87,LMT,DAY,CANCELED
,,,RE #5055272068,,,,,,,,,,,
,,8/26/24 06:51:30,STOCK,SELL,-3000,TO CLOSE,RR,,,STOCK,1.91,LMT,DAY,CANCELED
,,8/26/24 06:49:54,STOCK,SELL,-3000,TO CLOSE,RR,,,STOCK,~,MKT,DAY,"REJECTED: This stock is not available to borrow. If you want us to try to locate it for you, please call our trade desk."
,,8/26/24 06:39:39,STOCK,SELL,-3000,TO CLOSE,RR,,,STOCK,~,MKT,DAY,CANCELED
,,,TRG BY #5055235165,,,,,,,,TRG-.30,STP,STD,
,,,,,,,,,,,1.61,STP,,
,,8/26/24 06:39:39,STOCK,BUY,3000,TO OPEN,RR,,,STOCK,~,MKT,DAY,FILLED
,,8/26/24 06:34:15,STOCK,SELL,-3000,TO CLOSE,MIRA,,,STOCK,~,MKT,DAY,FILLED
,,,TRG BY #5055221275,,,,,,,,TRG+30.00%,STP,STD,
,,,,,,,,,,,3.12,STP,,
,,8/26/24 06:34:15,STOCK,BUY,3000,TO OPEN,MIRA,,,STOCK,~,MKT,DAY,FILLED
,,8/26/24 06:33:17,STOCK,SELL,-1000,TO CLOSE,MIRA,,,STOCK,~,MKT,DAY,FILLED
,,,TRG BY #5055218356,,,,,,,,TRG+20.00%,STP,STD,
,,,,,,,,,,,2.91,STP,,
,,8/26/24 06:33:17,STOCK,BUY,1000,TO OPEN,MIRA,,,STOCK,~,MKT,DAY,FILLED
,,8/26/24 06:32:22,STOCK,SELL,-1000,TO CLOSE,MIRA,,,STOCK,~,MKT,DAY,FILLED
,,,TRG BY #5055215595,,,,,,,,TRG+10.00%,STP,STD,
,,,,,,,,,,,2.94,STP,,
,,8/26/24 06:32:22,STOCK,BUY,1000,TO OPEN,MIRA,,,STOCK,~,MKT,DAY,FILLED
,,8/26/24 06:31:44,STOCK,SELL,-1000,TO CLOSE,MIRA,,,STOCK,~,MKT,DAY,FILLED
,,,TRG BY #5055214471,,,,,,,,TRG+5.00%,STP,STD,
,,,,,,,,,,,2.84,STP,,
,,8/26/24 06:31:44,STOCK,BUY,1000,TO OPEN,MIRA,,,STOCK,~,MKT,DAY,FILLED
,,8/23/24 08:18:35,STOCK,BUY,100,TO OPEN,VRAX,,,STOCK,5.6,LMT,DAY,CANCELED
,,8/23/24 07:44:41,STOCK,SELL,-100,TO CLOSE,OPEN,,,STOCK,~,MKT,DAY,FILLED
,,8/23/24 07:42:30,STOCK,BUY,100,TO OPEN,OPEN,,,STOCK,~,MKT,DAY,FILLED
,,8/23/24 07:38:50,STOCK,BUY,100,TO OPEN,OPEN,,,STOCK,2.16,LMT,DAY,CANCELED
,,8/23/24 07:24:39,STOCK,SELL,-300,TO CLOSE,GDC,,,STOCK,~,MKT,DAY,FILLED
,,8/23/24 07:24:02,STOCK,BUY,300,TO OPEN,GDC,,,STOCK,~,MKT,DAY,FILLED
,,8/23/24 07:22:19,STOCK,SELL,-300,TO CLOSE,APDN,,,STOCK,~,MKT,DAY,FILLED
,,8/23/24 07:19:31,STOCK,BUY,300,TO OPEN,APDN,,,STOCK,~,MKT,DAY,FILLED
,,8/23/24 07:19:27,STOCK,SELL,-300,TO CLOSE,APDN,,,STOCK,~,MKT,DAY,FILLED
,,8/23/24 07:18:53,STOCK,BUY,300,TO OPEN,APDN,,,STOCK,~,MKT,DAY,FILLED
,,8/23/24 07:13:18,STOCK,SELL,-300,TO CLOSE,APDN,,,STOCK,~,MKT,DAY,FILLED
,,8/23/24 07:11:12,STOCK,BUY,300,TO OPEN,APDN,,,STOCK,~,MKT,DAY,FILLED
,,8/23/24 07:10:13,STOCK,SELL,-200,TO CLOSE,APDN,,,STOCK,~,MKT,DAY,FILLED
,,8/23/24 07:08:58,STOCK,BUY,100,TO OPEN,APDN,,,STOCK,~,MKT,DAY,FILLED
,,8/23/24 07:07:53,STOCK,BUY,100,TO OPEN,APDN,,,STOCK,~,MKT,DAY,FILLED
,,8/23/24 07:07:30,STOCK,SELL,-100,TO CLOSE,APDN,,,STOCK,~,MKT,DAY,FILLED
,,8/23/24 07:07:02,STOCK,BUY,100,TO OPEN,APDN,,,STOCK,~,MKT,DAY,FILLED
,,8/23/24 07:06:31,STOCK,SELL,-100,TO CLOSE,APDN,,,STOCK,~,MKT,DAY,FILLED
,,8/23/24 07:05:02,STOCK,BUY,100,TO OPEN,APDN,,,STOCK,3.35,LMT,DAY,FILLED
,,8/23/24 07:03:12,STOCK,SELL,-100,TO CLOSE,APDN,,,STOCK,~,MKT,DAY,FILLED
,,8/23/24 07:02:05,STOCK,BUY,100,TO OPEN,APDN,,,STOCK,~,MKT,DAY,FILLED
,,8/23/24 07:00:12,STOCK,SELL,-200,TO CLOSE,APDN,,,STOCK,~,MKT,DAY,FILLED
,,8/23/24 06:59:50,STOCK,BUY,100,TO OPEN,APDN,,,STOCK,~,MKT,DAY,FILLED
,,8/23/24 06:56:52,STOCK,BUY,100,TO OPEN,APDN,,,STOCK,~,MKT,DAY,FILLED
,,8/23/24 06:55:27,STOCK,SELL,-100,TO CLOSE,APDN,,,STOCK,~,MKT,DAY,FILLED
